;ds;y;ws_avg;tt_air_avg;rh_avg;pp_air
0;31/01/2018;0.2325895875591616;4.603470813612801;27.299977462249267;82.35271579896326;1005.9613026819924
1;28/02/2018;0.0582940868655154;3.7001831501831504;27.571873364730507;80.45866038723182;1008.7558869701728
2;31/03/2018;0.0548812664907651;2.539985608059487;28.247757255936676;77.90045574478292;1008.1311585512112
3;30/04/2018;0.1213688212927756;2.8369581749049426;28.84742712294043;76.75361216730037;1009.0656273764258
4;31/05/2018;0.0155561185710666;4.317633645806942;27.82173802888269;77.20420572586775;1010.2477324550292
5;30/06/2018;0.2435638566380616;3.957243816254417;27.11102978293791;78.24028268551237;1011.4284957092378
6;31/07/2018;0.157028885832187;4.034525447042641;26.38404401650619;75.61705639614856;1011.5413755158183
7;31/08/2018;0.7149730402322687;4.199626710908336;25.558481957693903;76.33222729158025;1009.3382828701784
8;30/09/2018;0.0408836524300441;2.8685125184094256;26.797938144329898;76.20736377025037;1011.7448011782031
9;31/10/2018;0.0226039783001808;3.4370931283905968;27.5875904159132;76.30492766726944;1011.205131103074
10;30/11/2018;2.9848007414272475;6.851853568118629;27.97351714550509;81.19161260426321;1009.8882530120484
11;31/12/2018;0.9474259681093392;15.381571753986334;28.314328018223232;78.29202733485194;1008.5687243735764
12;31/01/2019;5.384536323288951;0.0;27.8982947909367;79.19154403176827;997.2093436113058
13;28/02/2019;2.620329411764706;0.0;28.327152941176468;79.01741176470588;1010.5630117647058
14;31/03/2019;4.3762506316321375;1.0334512379989893;27.752880242546738;81.18873168266802;1009.4105861546236
15;30/04/2019;0.9843688362919132;3.6674556213017753;28.39568540433925;80.08851084812623;1009.2182692307692
16;31/05/2019;0.2008294930875576;3.3484562211981563;27.61578341013825;79.91728110599078;1010.9549078341014
17;30/06/2019;0.012037037037037;3.49162037037037;26.541064814814813;77.88796296296296;1011.4202083333332
18;31/07/2019;0.0288569339507677;3.806239337070436;26.15342432366561;76.6095539848891;1012.320789666098
19;31/08/2019;0.3580753701211305;3.443135935397039;25.740746971736204;77.1921265141319;1012.67065948856
20;30/09/2019;0.1697152118545959;3.4194952535309096;26.14364436212086;77.89905070618198;1013.1369993053949
21;31/10/2019;0.0233385897724712;2.325546294210408;27.474498760982204;76.74205902230231;1010.8216264924532
22;30/11/2019;0.0797474275023386;2.241604303086997;28.412324602432182;75.95767072029935;1010.0166510757718
23;31/12/2019;1.6673253986076804;2.4003593083314616;29.24949472265888;75.92679092746464;1008.0759937121044
24;31/01/2020;1.7744642454319872;3.701218136702008;28.827272727272728;76.87773516805775;1008.2719828558538
25;29/02/2020;3.3607305936073057;3.0267724104782503;28.578442682047584;79.14467676039413;1009.1259552992068
26;31/03/2020;3.522119503945885;2.423021420518602;28.392581736189403;81.24306651634724;1009.1604735062008
27;30/04/2020;1.5390736342042757;2.029958432304038;27.75911520190024;76.71882422802851;979.7032066508314
28;31/05/2020;0.3592584009269988;3.688852838933952;27.860950173812284;71.19582850521437;998.4693395133256
29;30/06/2020;0.0122685185185185;3.4915972222222225;26.54129629629629;77.88263888888889;1011.4197222222224
30;31/07/2020;0.1567213114754098;3.7893169398907114;25.702213114754095;66.58196721311475;977.0572950819673
31;31/08/2020;0.2874930516953863;4.407948860478043;26.65508615897721;54.32101167315175;1009.2723457476376
32;30/09/2020;0.4017039922103213;3.076606621226875;27.567770204479064;47.45934761441091;1010.6518013631938
33;31/10/2020;1.1394802259887005;2.870305084745763;27.87877966101695;49.45559322033898;1009.3587570621468
34;30/11/2020;0.3574023388902712;3.489425230156755;28.40079621796467;60.52177158497138;1001.2690967902464
35;31/12/2020;0.0213137344970142;6.552273771244832;27.808497932935232;79.09462563160312;1007.245062011943
36;31/01/2021;0.0418615866891728;7.032577767060525;27.07424644321196;85.24065589582831;1007.2635640221848
37;28/02/2021;0.0297603371082433;6.892836449828812;27.47242559915723;82.52014748485647;1007.8239136160126
38;31/03/2021;0.0273348519362186;4.7125854214123;27.5996583143508;81.71412300683372;988.707118451025
39;30/04/2021;0.0038839606808918;4.656365380004795;28.047350755214577;77.09661951570367;1009.7179812994486
40;31/05/2021;0.0004711425206124;6.3288339222614844;28.02605418138987;78.73828032979976;1009.5106242638398
41;30/06/2021;0.2534167970787689;5.129473135106938;27.340610328638498;79.56311945748566;1011.016510172144
42;31/07/2021;0.0003031834259727;6.332642748863062;27.135017685699847;76.57983830217282;1011.2349418898432
43;31/08/2021;0.0039603960396039;7.213883888388839;27.142394239423943;78.99212421242125;1011.6585283528352
44;30/09/2021;0.0191666666666666;5.555717592592592;27.329560185185183;78.13287037037037;1011.3682175925926
45;31/10/2021;0.0114695340501792;4.017898745519713;27.906272401433693;78.48812724014337;1010.4114471326166
46;30/11/2021;1.2477314814814815;6.012175925925926;27.68761574074074;83.16574074074074;1008.627222222222
47;31/12/2021;0.5303003137606455;8.166539668310174;28.18727028238458;82.0730614074406;1006.9370013446886
48;31/01/2022;0.4854961832061069;7.568859452177817;27.802424786708578;81.06735518634935;1008.0738437359678
49;28/02/2022;0.0158445440956651;6.003089187842551;27.855505729945197;81.12630792227205;1007.5196063776782
50;31/03/2022;0.0182795698924731;4.763194444444445;28.2586917562724;81.68839605734767;1007.5175403225808
51;30/04/2022;0.0152777777777777;3.953796296296297;28.221481481481483;80.47638888888889;1008.3825231481482
52;31/05/2022;2.774994398386735;3.944833071924714;28.33560609455523;80.62079542908357;1005.0582298902084
53;30/06/2022;0.8738425925925926;3.221474537037037;27.90165046296297;79.31234027777778;1009.564224537037
54;31/07/2022;0.1292562724014337;4.063660394265233;26.935454749103943;77.48317204301075;1010.1763463261648
55;31/08/2022;0.4764784946236559;3.552618727598566;26.948902329749103;79.19802195340502;1010.5433422939068
56;30/09/2022;0.8071759259259259;2.747375;27.214194444444445;80.59710185185185;1010.9833287037038
57;31/10/2022;7.959901433691757;2.222401433691756;27.04991711469534;84.36323028673836;1009.5297558243728
58;30/11/2022;3.2255268199233718;2.19047653256705;27.7919995210728;82.60714798850574;1008.6235560344828
59;31/12/2022;5.248308312794085;3.4735783105534392;27.66640824557473;81.63021286130406;1007.0851019493612
